"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"48.5";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"48.6";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"51";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"53";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"54.9";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"55";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"55.4";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"55.9";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"56.2";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"4.8";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"6.7";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"7.8";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"8.2";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"8.7";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"8.7";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"10.8";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"12.1";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"12.2";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"12.6";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"12.7";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"15.6";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"17.7";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"19";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"19.1";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"19.9";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"22.1";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"22.9";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"24.2";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"25.5";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"25.6";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"27.6";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"30.3";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"30.8";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"32.7";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"34.7";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"41.5";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"67.2";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"69.1";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"71";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"71.1";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"71.5";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"71.8";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"74.1";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"74.7";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2008";"77.3";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Cine";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"39.6";"Sexo, edad y TTHH";"Hombres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"43.3";"Sexo, edad y TTHH";"Álava";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"46.1";"Sexo, edad y TTHH";"20-24 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"46.5";"Sexo, edad y TTHH";"15-19 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"48.6";"Sexo, edad y TTHH";"Bizkaia";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"48.8";"Sexo, edad y TTHH";"Total";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"51.4";"Sexo, edad y TTHH";"Gipuzkoa";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"53.8";"Sexo, edad y TTHH";"25-29 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"57.9";"Sexo, edad y TTHH";"Mujeres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"44";"Sexo, edad y TTHH";"Hombres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"50.7";"Sexo, edad y TTHH";"25-29 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"50.9";"Sexo, edad y TTHH";"Bizkaia";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"51.2";"Sexo, edad y TTHH";"Álava";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"51.3";"Sexo, edad y TTHH";"20-24 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"52.2";"Sexo, edad y TTHH";"Total";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"54.5";"Sexo, edad y TTHH";"Gipuzkoa";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"54.6";"Sexo, edad y TTHH";"15-19 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"61";"Sexo, edad y TTHH";"Mujeres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"42.8";"Sexo, edad y TTHH";"Hombres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"50.4";"Sexo, edad y TTHH";"Bizkaia";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"52";"Sexo, edad y TTHH";"15-19 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"53.7";"Sexo, edad y TTHH";"Total";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"54.2";"Sexo, edad y TTHH";"20-24 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"54.4";"Sexo, edad y TTHH";"25-29 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"56.3";"Sexo, edad y TTHH";"Gipuzkoa";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"59.5";"Sexo, edad y TTHH";"Álava";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"65.1";"Sexo, edad y TTHH";"Mujeres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"42.8";"Sexo, edad y TTHH";"Hombres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"50.4";"Sexo, edad y TTHH";"Bizkaia";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"52";"Sexo, edad y TTHH";"15-19 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"53.7";"Sexo, edad y TTHH";"Total";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"54.2";"Sexo, edad y TTHH";"20-24 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"54.4";"Sexo, edad y TTHH";"25-29 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"56.3";"Sexo, edad y TTHH";"Gipuzkoa";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"59.5";"Sexo, edad y TTHH";"Álava";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"65.1";"Sexo, edad y TTHH";"Mujeres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"35.8";"Sexo, edad y TTHH";"15-19 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"40.2";"Sexo, edad y TTHH";"Hombres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"42.5";"Sexo, edad y TTHH";"Gipuzkoa";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"43.9";"Sexo, edad y TTHH";"Bizkaia";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"44.6";"Sexo, edad y TTHH";"Total";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"46.6";"Sexo, edad y TTHH";"20-24 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"48.6";"Sexo, edad y TTHH";"25-29 años";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"49.4";"Sexo, edad y TTHH";"Mujeres";"Lectura por ocio";"Lectura por ocio";"";"";
"Hábito de lectura por ocio de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"51.2";"Sexo, edad y TTHH";"Álava";"Lectura por ocio";"Lectura por ocio";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"71.2";"Sexo, edad y TTHH";"25-29 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"74.5";"Sexo, edad y TTHH";"Hombres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"76.3";"Sexo, edad y TTHH";"Bizkaia";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"76.6";"Sexo, edad y TTHH";"Gipuzkoa";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"76.8";"Sexo, edad y TTHH";"Total";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"77.8";"Sexo, edad y TTHH";"20-24 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"79.1";"Sexo, edad y TTHH";"Mujeres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"79.4";"Sexo, edad y TTHH";"Álava";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"81.2";"Sexo, edad y TTHH";"15-19 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"37.1";"Sexo, edad y TTHH";"Hombres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"41.3";"Sexo, edad y TTHH";"25-29 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"42.1";"Sexo, edad y TTHH";"20-24 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"42.4";"Sexo, edad y TTHH";"Bizkaia";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"44";"Sexo, edad y TTHH";"Total";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"45.5";"Sexo, edad y TTHH";"Álava";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"45.8";"Sexo, edad y TTHH";"Gipuzkoa";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"48.6";"Sexo, edad y TTHH";"15-19 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2018";"51.4";"Sexo, edad y TTHH";"Mujeres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"44.1";"Sexo, edad y TTHH";"Gipuzkoa";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"50.9";"Sexo, edad y TTHH";"25-29 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"51";"Sexo, edad y TTHH";"Hombres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"53.5";"Sexo, edad y TTHH";"Álava";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"55.1";"Sexo, edad y TTHH";"Total";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"56.6";"Sexo, edad y TTHH";"20-24 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"58.6";"Sexo, edad y TTHH";"15-19 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"59.4";"Sexo, edad y TTHH";"Mujeres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"62.7";"Sexo, edad y TTHH";"Bizkaia";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"37.9";"Sexo, edad y TTHH";"Bizkaia";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"38.8";"Sexo, edad y TTHH";"Hombres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"40";"Sexo, edad y TTHH";"25-29 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"42.9";"Sexo, edad y TTHH";"Total";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"43.3";"Sexo, edad y TTHH";"20-24 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"45.9";"Sexo, edad y TTHH";"Álava";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"46.9";"Sexo, edad y TTHH";"15-19 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"47.1";"Sexo, edad y TTHH";"Mujeres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"49.7";"Sexo, edad y TTHH";"Gipuzkoa";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"33.7";"Sexo, edad y TTHH";"Álava";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"35.5";"Sexo, edad y TTHH";"Hombres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"35.7";"Sexo, edad y TTHH";"25-29 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"39";"Sexo, edad y TTHH";"20-24 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"39.6";"Sexo, edad y TTHH";"Bizkaia";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"39.8";"Sexo, edad y TTHH";"Total";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"43.5";"Sexo, edad y TTHH";"Gipuzkoa";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"45.4";"Sexo, edad y TTHH";"Mujeres";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Participación en actividades artísticas de jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2008";"47.1";"Sexo, edad y TTHH";"15-19 años";"Participación en actividades artísticas";"Participación en actividades artísticas";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"13.3";"Sexo, edad y TTHH";"20-24 años";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"15.3";"Sexo, edad y TTHH";"25-29 años";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"15.3";"Sexo, edad y TTHH";"Mujeres";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"15.9";"Sexo, edad y TTHH";"Álava";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"17";"Sexo, edad y TTHH";"Bizkaia";"";"";"";"";
